"Y","mol","Structure (Fingerprint)"
0.00026,"Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1cnc2ccc(C#N)cn12","0000000000000000000000000000000000000000000000100000000000000000000000000000001000001000100001000000000000010000000000000000000000000000000000100010100000000001000000000000001000000000010000000000000000001000100000000000000000000000010000100000000000000010000000000000001000000000000000000000000001100000000010000000000000000100010000000000000000000100000010000100000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000011000000000000000000000000000000000010000000000000000000000000000000000000000000010100000000000100000000000000000000000100000000000000000000000000000000000100000000000001000000000010000001000100000100000000000000000000000000000000000000000000101000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000100000110000000000000000000000000000001000000000000000000000000000000010000000000001000000000100010000000001000000001000000000000000000000000000000000000001000000000000000000001000000010000000000000000000000000"
0.0003,"Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1cnc2ccc(Br)cn12","0000000000000000000000000000000000000000000000000000000000000000000000000000001000001000100000000000000000010000001000000000000000000000000000100010100000000001000000000000001000000000010000000000000000001000100000000000000000000000010000100000000000000010000000000000001000000000000000000000000101100000000010000000000000000100010000000000000000000000000010000100000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000010000000000000000000000000000000000000000000010100000000000100000000000000000000000100000000000000000000000000000000000100000000000001000000000010000000000100000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000100000111000000000000000000000000000001000000000000000000000000000000010000010000001000000000100000000000000000000001000000001000000000000000000000000000001000000000000000000001000000010000000000000000000000000"
0.00048,"Cc1nc(N)nc2c1cc(-c1cnc3[nH]ccc3c1)c(=O)n2C1CCCC1","0100100000100000000000000000000000000000000000110000001000000000000000000000000000000000100000000100000000000000000000000000000000100100010000000000100000000000000000000000001000001000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000100100000000000000010000000000000000000000000000010000100000000000000000010000000000000000000000000000001000000000000000000000100010000000000000000001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000000000001000000100101000000000000000000000000000000000000000000000000000000101000000010010000000100000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000000000000000000000010010000"
0.000524,"Cc1nc(N)nc2c1cc(-c1cccc(O)c1)c(=O)n2C1CCCC1","0100100000100000000000000000000000000000000000010000001000000000000000000000000000000000100000000100000000000000000000000000000000100100010000000000100000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000010000000001000000000000000000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000001001000000000000000000000100010000000000000000001000000000100000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000000000001000000100100000000000000000000000000000000000000010000000000000000101000000010010000000000000000000000000000000000000000000100000000000000000000000000110000000000000000000000010000001000000000000000001000000000010000"
0.00059,"Cc1nc(N)nc2c1cc(C(=O)Nc1ccn[nH]1)c(=O)n2[C@H]1CC[C@H](O)CC1","0100100000100000000000000000000000000000000000010000000010000000000000000000000000000000100000000100000000000000000000000000000000100000010000000000100000000000000010000000001010000100000000001000000000000000000000001100010000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000001000001000000000000100000000100000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000001000000000000000000010100000000000000000101001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000100000000000000001000000000100000000000000000000000000000000000000000000000000000000101000000000000000000100000000000000000100000000000000000101000000000000000100000010000000000000000001000000000000001000000000000000000000000000000000"
0.000646,"Cc1nc(N)nc(-n2c(Nc3cc(O)cc(O)c3)nc3ccccc32)n1","0000000000000000000010000000000000000000000000000000001000000000100000000000000000000000100000000000000000000000100000000000000000000000000000001000100000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000100010000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000001000000000000000000001100000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000001000000000000000000000000000010000000000000001000000000000000000000000100000000000000010000000100000000010000000001000000100000000000100000000000000000000000001000000000000000000000000000010000000010000000000000000001000000000001000000010000000000000000000000000"
0.000686,"COc1ncc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCC(N)=O)CC3)c2=O)cc1F","0100100000100000000000000000000000000000000100010000000000000000000000000000000000000000100000000100000000000000000000010000000000100000010000000000110000000000000000000000001000001010000000001000000010000101000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001100100000010000000000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000110000001000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000010000000100000000000000000000001000000000000000000000100010000000000000100001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000000000001010000100100000000000000000000000100000000000000000000000000000000101000000110010000000000000000100000000000000000000000000100000000000100000000000000000000000000000000000000010000011000000000000000000000000000000000"
0.000731,"CNc1nc(C)c2cc(-c3cccc(O)c3)c(=O)n(C3CCCC3)c2n1","0100100000100000000000000000000000000000000000010000001000000000000000000000000000000000100000000100000000000000010000000000000001000100010000000000100000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000010000000001000000000000000000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000001001000000000000000000000100010000000000000000001000000000100000000100000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100100000000000000000000000000000000000000010000000010000000100000000010010000000100000000000000000000000000000000000100000000000000000000000000110000000000000000000000010000001000000000000000001000000000010000"
0.00075,"CNc1nc(C)c2cc(-c3cnc4[nH]ccc4c3)c(=O)n(C3CCCC3)c2n1","0100100000100000000000000000000000000000000000110000001000000000000000000000000000000000100000000100000000000000010000000000000001000100010000000000100000000000000000000000001000001000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000010000001100000000000000000000100100001000000000010000000000000000000000000000000001100000000000000000000010000000000000000000000000001000000000000000000000100010000000000000000001000000000000000000100000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100101000000000000000000000000000000000000000000000010000000100000000010010000000100000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000000000000000000000010010000"
0.00077,"Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1cnc2ccc(Cl)cn12","0000000000000000000000000000000000000000000000000000000000000000000000000000001000001000100000000000000000010000000000000000000000000000000000100010100000000001000000000000001000000000010000000000000000001001100000000000000000000000010000100000000000000010000000000000001000000000000000000000000001100000000010000000000000000100010000000000000000000000000010000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000000000000010000000000000000000000001000000000000000000010100000000000100000000000000000000000100000000000000000000000000000000000100000000000001000000000010000000000100000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000010000000000000000000000000000000001000000100000110000000000000000000000000000001000000000000000000000000000000010000000000001000000000100000000000000000000001000000000000000000000000000000000000001000000000000000000001000000010000000000000000000000000"
