Structure,Y
Cl.CN(N=Cc1cnc2ccc(cn12)C#N)S(=O)(=O)c3cc(ccc3C)[N+](=O)[O-],0.00026
Cl.CN(N=Cc1cnc2ccc(Br)cn12)S(=O)(=O)c3cc(ccc3C)[N+](=O)[O-],0.0003
Cc1nc(N)nc2N(C3CCCC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.00048
Cc1nc(N)nc2N(C3CCCC3)C(=O)C(=Cc12)c4cccc(O)c4,0.000524
Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)CC3)C(=O)C(=Cc12)C(=O)Nc4ccn[nH]4,0.00059
Cc1nc(N)nc(n1)n2c(Nc3cc(O)cc(O)c3)nc4ccccc24,0.000646
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCC(=O)N)C2=O,0.000686
CNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4cccc(O)c4,0.000731
CNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4cnc5[nH]ccc5c4,0.00075
Cl.CN(N=Cc1cnc2ccc(Cl)cn12)S(=O)(=O)c3cc(ccc3C)[N+](=O)[O-],0.00077
CCNc1nc(C)c2C=C(C(=O)N([C@@H]3CC[C@@H](O)CC3)c2n1)c4cnc(OC)c(F)c4,0.000788
CC1(C)OCCn2c1cc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.000831
COc1cc(ccc1O)C2=Cc3c(C)nc(N)nc3N(C4CCCC4)C2=O,0.000989
CS(=O)(=O)N1CCN(Cc2cn3cc(nc(N4CCOCC4)c3n2)c5cnc(N)nc5)CC1,0.001
CC1(C)OCCc2c1sc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.001
CCNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4cccc(O)c4,0.00101
CNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4ccc(OC)nc4,0.00103
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O,0.0011
Cc1nc(N)nc2N([C@@H]3CC[C@H](O)C3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.0012
Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)C3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.0012
CCn1nccc1NC(=O)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O,0.0013
Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)CC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.0013
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5OC6(CCn5c4n2)CC6,0.00137
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N(C4CCOCC4)C2=O,0.00143
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,0.00144
CNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4ccc(O)c(OC)c4,0.00157
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCC(=O)N)C2=O,0.00158
CCNc1nc(C)c2C=C(C(=O)N([C@@H]3CC[C@@H](O)CC3)c2n1)c4cnc(OC)nc4,0.00159
Cc1nc(N)nc2N([C@@H]3CC[C@H](O)CC3)C(=O)C(=Cc12)c4ccc5cc[nH]c5n4,0.0016
CO[C@@H]1CC[C@H](CC1)N2C(=O)C(=Cc3c(C)nc(N)nc23)c4cnc(OC)c(F)c4,0.0016
CNc1nc(C)c2C=C(C(=O)N(CC3CCOC3)c2n1)c4cnc5[nH]ccc5c4,0.0016
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N(C4CCCC4)C2=O,0.0017
CCNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4cnc5[nH]ccc5c4,0.00177
CNc1nc(C)c2C=C(C(=O)N([C@@H]3CC[C@@H](O)CC3)c2n1)c4ccc(OC)nc4,0.0018
Cc1nc(N)ncc1c2nc(N3CCOCC3)c4nc5n(CCOC5(C)C)c4n2,0.0018
Cc1nc(N)nc2N(C3CCC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.002
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCCC4)C2=O,0.002
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(OC(=O)C)c3,0.002
CC1(C)OCCn2c1nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.00209
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4C[C@H](C4)OCC(=O)N)C2=O,0.00214
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N(C(C)C)C2=O,0.0022
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,0.0022
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O,0.0023
CC(C)N1C(=O)C(=Cc2c(C)nc(N)nc12)c3cnc4[nH]ccc4c3,0.0023
CNc1nc(C)c2C=C(C(=O)Nc3cc[nH]n3)C(=O)N(C4CCCC4)c2n1,0.00234
CC(C)[C@@H]1CN(CCN1C)c2c(cnn2C)c3ccc4c(OCCn5cc(nc45)c6nc(C)nn6C(C)C)c3,0.00234
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](O)CC4)C2=O,0.0024
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5n(CCOC56COC6)c4n2,0.00245
Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccccc4C(F)(F)F)c3,0.0025
[2H]C([2H])([2H])C1(OCCn2c1nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5)C([2H])([2H])[2H],0.00259
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCCO)C2=O,0.0026
Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(cc4Cl)C(F)(F)F)c3,0.0026
CCOc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O,0.0027
Cl.Cc1ccc(cc1S(=O)(=O)c2nc(cs2)c3cnc4ccc(Cl)cn34)[N+](=O)[O-],0.0028
Cc1nc(N)nc2N(CC3CCOC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.0028
CC(C)N1C(=O)C(=Cc2c(C)nc(N)nc12)C(=O)Nc3ccn[nH]3,0.0029
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCCC4)C2=O,0.00296
CN(C)Cc1cc2nc(nc(N3CCOCC3)c2s1)c4cccc(O)c4,0.003
COc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(NC(=O)C)sc4c3,0.003
CCOC(=O)N1CCC(CC1)NC(=O)c2cn3cc(nc(N4CCOCC4)c3n2)c5cnc(N)nc5,0.003
C[C@@H]1CN(C[C@H](C)N1Cc2cn3cc(nc(N4CCOCC4)c3n2)c5cnc(N)nc5)S(=O)(=O)C,0.003
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4cncc(NS(=O)(=O)c5ccc(F)cc5F)c4,0.003
CN(C)C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3COc4cnc(cc4c3s2)C(C)(C)C,0.003
CCNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4ccc(O)c(OC)c4,0.00308
Cc1nc(N)nc2N(C3CCCC3)C(=O)C(=Cc12)c4cccc(CO)c4,0.0031
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4C[C@H](C4)OCCO)C2=O,0.00311
CC[C@]1(C)OCCn2c1nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.00311
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)C4CCCCC4)c3,0.0032
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cc(Cl)cc(Cl)c4)c3,0.0032
CC(C)N1CCC[C@H](C1)C2CCN2c3ccc4c(OCCn5cc(nc45)c6nc(C)nn6C(C)C)c3,0.00341
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5[C@H](OCCn5c4n2)C(F)(F)F,0.00345
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C,0.0035
